,FibCassini_cpp,FibCassini_python,FibFormulaBig_string,FibFormula_python,FibFormula_string,FibLoop_cpp,FibLoop_python,FibLoop_string,FibMatrix_cpp,FibMatrix_python,FibMatrix_string,FibRecurDP_python,FibRecur_python
105,237777.67205501732,57777.75209026004,,,,95111.0688447443,9777.773470887041,976444.0104618189,311555.4170562973,17777.769926397013,1107555.0632995146,43999.98044846143,
106,244444.3357489945,59111.08485179284,,,,97333.29011396563,10222.21761104447,999555.1113206602,298666.5339221872,18222.21418024128,1002666.2209838832,44444.424702305696,
107,211555.4615329529,65333.30429192574,,,,95555.51309858856,9333.329103355936,1011999.5503146129,347555.40104924876,21333.323843464314,1251554.9992713204,46666.64597152703,
108,243999.89160883706,59999.97335948137,,,,99111.0671293427,9777.773357200203,1045777.313038343,288888.7604513002,18222.21418024128,1363999.3937886176,48888.86712706153,
109,223555.45615937444,61777.750261171605,,,,103999.9538079428,9777.773470887041,1107999.5075533588,343110.9586244929,20888.879589620046,1237332.7834893644,46666.645857840194,
110,264444.32694461284,60888.86175348307,,,,101777.73253872147,11111.106118733005,1063999.5271048974,618221.9474339945,19999.991081931512,1127999.4986352904,46222.201717682765,
111,210666.57302526437,61333.306121014175,,,,101333.28839856404,10222.21761104447,1103999.5092687604,439999.80437092745,24888.87787421845,1409777.151252456,59555.52899195027,
112,275110.9888095016,61777.75037485844,,,,104444.39806178707,9777.773470887041,1606221.5082683905,262666.54992923577,16444.43716486421,1056443.9749032317,47111.0902253713,
113,245333.22437036986,60888.86175348307,,,,107999.95197885437,10666.661978575576,1112888.394231959,348444.28967062413,18222.21418024128,1191999.4701656834,46666.64597152703,
114,285777.65078807715,62666.63888254698,,,,158666.59612129297,10666.661978575576,1122221.7234490018,308888.7515332317,18666.65832039871,1057332.8634109204,46222.20160399593,
115,217333.23671924154,63999.97153039294,,,,103111.06530025427,10222.21761104447,1160443.9287111745,363999.83821411297,19555.546828087245,1357777.1742347977,47555.53447921557,
116,247111.0012720601,63111.083022704406,,,,106222.17507716414,11111.106118733005,1159555.040203486,290666.53746667725,18222.214066554443,1001332.8883360373,47111.0902253713,
117,226222.12168244005,63999.97153039294,,,,149333.26701793703,10222.217724731308,1180888.3640469504,354666.5089970702,19111.102574242977,1584888.1844249263,47999.978619372996,
118,259555.44026601274,63999.97153039294,,,,161333.26164435857,18222.21418024128,1196443.9125904392,418222.0363873057,20888.879589620046,1200888.3552425685,51999.9769039714,
119,194222.13586040016,68444.41395514878,,,,106222.17507716414,10222.217724731308,1615110.393345276,403999.820377976,30222.20880666282,1443110.4697223417,49333.3113809058,
120,348444.2895569373,64444.415897924046,,,,113333.28291129874,11999.994740108377,1877776.943160825,352888.7319816931,17333.325672552746,1051999.532364789,49333.3113809058,
121,230666.56422088272,64444.41578423721,,,,109333.28474038717,10222.217724731308,1241332.781660276,367555.39213118027,18666.65832039871,1270666.1019592502,49333.3113809058,
122,259555.4401523259,65333.30429192574,,,,170666.59086140135,10666.661978575576,1276443.8771455388,403555.3761241317,20444.43533577578,1167555.036658996,49333.3113809058,
123,203111.02082359866,65333.30429192574,,,,107999.95197885437,10222.21761104447,1424888.2556557874,429777.586759883,22666.656604997115,1542221.5368516846,49333.3113809058,
